REGION,YEAR,WEEK,SEASON,TOTAL_PATIENTS_ILI_SYMPTOMS,PROVIDERS_ATTENDING_TO_ILI,WEIGHTED,%UNWEIGHTED ILI,TOTAL SPECIMENS,PERCENT POSITIVE,Non Influenza weeks,WeightedILIPCT
Region 1,2011,40,Autumn,51819,150,0.439739817,0.540342345,37,5.405405405,FALSE,
Region 2,2011,40,Autumn,123192,224,0.925928571,1.357230989,262,0.381679389,TRUE,0.925928571
Region 3,2011,40,Autumn,113765,219,1.157469275,1.177866655,434,0.230414747,TRUE,1.157469275
Region 4,2011,40,Autumn,142175,350,1.105670329,1.229470723,546,1.831501832,TRUE,1.105670329
Region 5,2011,40,Autumn,102597,289,0.941375434,1.200814839,282,1.773049645,TRUE,0.941375434
Region 6,2011,40,Autumn,68522,155,1.863812481,1.976007706,436,0.458715596,TRUE,1.863812481
Region 7,2011,40,Autumn,25268,97,0.890841801,0.88253918,234,0,TRUE,0.890841801
Region 8,2011,40,Autumn,51031,111,0.986923002,0.977837001,385,1.038961039,TRUE,0.986923002
Region 9,2011,40,Autumn,81545,207,1.54553712,1.075479796,338,1.183431953,TRUE,1.54553712
Region 10,2011,40,Autumn,18268,48,0.546686408,0.766367418,238,1.680672269,TRUE,0.546686408
Region 1,2011,41,Autumn,50211,155,0.689896953,0.798629782,60,1.666666667,TRUE,0.689896953
Region 2,2011,41,Autumn,122427,223,0.960624996,1.525807216,342,0,TRUE,0.960624996
Region 3,2011,41,Autumn,115344,225,1.176836071,1.234567901,460,0,TRUE,1.176836071
Region 4,2011,41,Autumn,141655,347,1.173953598,1.274222583,545,1.100917431,TRUE,1.173953598
Region 5,2011,41,Autumn,105053,292,0.943070541,1.154655269,265,0.754716981,TRUE,0.943070541
Region 6,2011,41,Autumn,66607,152,1.683961878,1.806116474,484,0.41322314,TRUE,1.683961878
Region 7,2011,41,Autumn,25605,99,0.851874162,0.824057801,228,0,TRUE,0.851874162
Region 8,2011,41,Autumn,56535,124,0.826277934,0.933934731,423,0.236406619,TRUE,0.826277934
